doc_id,sentence,mtp_words
9453941,"Saudi-Arabien er blevet udpeget som vært for de asiatiske vinterlege, som i 2029 skal foregå i den futuristiske storby 'Neom', der er under opførelse i den nordvestlige del af landet.",udpeget
9453941,Ifølge nyhedsbureauet AFP blev det saudiarabiske bud enstemmigt vedtaget af Asiens Olympiske Komité (OCA) på et møde i Phnom Penh.,bud
9453941,"Det bliver første gang nogensinde, at legene afvikles i Vestasien.",legene
9453941,"- Snart vil Saudi-Arabiens ørken og bjerge være legeplads for vintersport, lyder det i en meddelelse fra OCA.","legeplads, lyder"
9453941,"'Neom' er en planlagt kæmpeby, der skal strække sig mellem to skyskrabere placeret med 170 kilometers mellemrum.",strække
9453941,"Vinterlegene skal foregå i Trojena, et område, hvor vintertemperaturen kommer under frysepunktet.",kommer
9453941,Området vil efter planen stå færdig i 2026 og får blandt andet et skianlæg til helårsbrug.,stå
9453941,"Hele byprojektet vil koste 500 milliarder dollar, svarende til 3800 milliarder danske kroner.","svarende, til"
9453941,"Idéen er, at byen skal fungere udelukkende på vedvarende energi, og den har fået opmærksomhed på grund af planer om flyvende taxaer og robottjenere.",Idéen
9453941,Saudi-Arabien har fået kritik for at bedrive såkaldt 'sportswashing'.,bedrive
9453941,"Landet har i flere år arrangeret Formel 1-løb, ligesom den statslige investeringsfond ejer den engelske Premier League-klub Newcastle.",løb
9160659,"Krigens brutale konsekvenser viser sit sande ansigt i havnebyen Mariupol, hvor et barn har mistet livet","ansigt, viser"
9160659,Fredag udspillede de forfærdelige scener sig på byens hospital.,scener
9160659,"Sønnen Kirill var blevet ramt af granatstumper efter et artilleriangreb, og nu kæmpede forældrene for at redde sønnens liv.",kæmpede
9160659,Sådan går dagene i Mariupol Personalet på hospitalet i Mariupol er presset for tiden.,"går, presset"
9160659,Mariupol i kritisk situation Ruslands invasion af Ukraine har ført til kritiske humanitære situationer i mange byer.,ført
9160659,"Havnebyen Mariupol er en af de hårdest ramte byer, som står uden adgang til vand, varme og nye forsyninger af fødevarer.","ramte, hårdest"
9160659,Lørdag blev en humanitær korridor åbnet.,"korridor, åbnet"
9160659,"Den blev dog lukket kort efter, da russiske tropper bombede korridoren, så de civile ikke kunne slippe væk.","lukket, korridoren, slippe"
9160659,"Søndag forsøges der igen at etablere en humanitær korridor, så civile kan evakuere, og fødevarer og medicin kan komme ind i byen.",korridor
