annotator	filename	mark	label	offset	span
sample2	t8_9273904	T13	MTP	skabe	621 626
sample2	t8_9273904	T14	MTP	rigtige	636 643
sample2	t8_9273904	T15	HPB	rigtige	636 643
sample2	t8_9273904	T16	MTP	i	744 745
sample2	t8_9273904	T17	MTP	dag	746 749
sample2	t8_9273904	T18	MTP	tilbage	788 795
sample2	t8_9273904	T19	MTP	gamle	806 811
sample2	t8_9273904	T20	MTP	fandt	849 854
sample2	t8_9273904	T21	MTP	store	1093 1098
sample2	t8_9273904	T22	MTP	højere	1368 1374
sample2	t8_9273904	T23	MTP	mulighed	1601 1609
sample2	t8_9273904	T24	MTP	gælder	1693 1699
sample2	t8_9273904	T25	MTP	hjælper	1753 1760
sample2	t8_9273904	T26	MTP	farver	1952 1958
sample2	t8_9273904	T27	MTP	fest	1962 1966
sample2	t8_9273904	T28	MTP	dreje	2118 2123
sample2	t8_9273904	T29	MTP	nøglen	2124 2130
sample2	t8_9273904	T30	MTP	om	2131 2133
sample2	t8_9273904	T31	MTP	støtte	2233 2239
sample2	t8_9273904	T32	MTP	en	2468 2470
sample2	t8_9273904	T33	MTP	stopper	2471 2478
sample2	t8_9273904	T34	MTP	for	2479 2482
sample2	t8_9273904	T35	HPB	al	2483 2485
sample2	t7_9048164	T1	MTP	rolle	23 28
sample2	t7_9048164	T2	MTP	kanalen	142 149
sample2	t7_9048164	T3	MTP	ramt	137 141
sample2	t7_9048164	T4	MTP	skærmen	189 196
sample2	t7_9048164	T5	MTP	rolle	291 296
sample2	t7_9048164	T6	MTP	tilbage	343 350
sample2	t7_9048164	T7	MTP	stop	269 273
sample2	t7_9048164	T8	MTP	bølge	373 378
sample2	t7_9048164	T9	MTP	sager	122 127
sample2	t7_9048164	T10	MTP	sager	382 387
sample2	t7_9048164	T11	MTP	ramt	422 426
sample2	t7_9048164	T12	MTP	holdt	509 514
sample2	t7_9048164	T13	MTP	tale	533 537
sample2	t7_9048164	T14	MTP	gang	633 637
sample2	t7_9048164	T15	MTP	tale	653 657
sample2	t7_9048164	T16	MTP	satte	208 213
sample2	t7_9048164	T17	MTP	tvivlsom	402 410
sample2	t7_9048164	T18	MTP	skarp	723 728
sample2	t7_9048164	T19	MTP	forbindelse	660 671
sample2	t7_9048164	T20	MTP	største	680 687
sample2	t7_9048164	T21	MTP	rettede	712 719
sample2	t7_9048164	T22	MTP	ledelse	754 761
sample2	t7_9048164	T23	MTP	skærmen	839 846
sample2	t7_9048164	T24	MTP	fortsat	848 855
sample2	t7_9048164	T25	MTP	rolle	867 872
sample2	t7_9048164	T26	MTP	vært	993 997
sample2	t7_9048164	T27	MTP	rolle	983 988
sample2	t7_9048164	T28	MTP	stor	1014 1018
sample2	t7_9048164	T29	MTP	stormen	1026 1033
sample2	t7_9048164	T31	MTP	ramt	1038 1042
sample2	t7_9048164	T32	MTP	vært	1089 1093
sample2	t7_9048164	T30	MTP	sager	1166 1171
sample2	t7_9048164	T33	MTP	underholdningsprogrammer	1124 1148
sample2	t7_9048164	T34	MTP	rolle	1222 1227
sample2	t7_9048164	T35	MTP	vært	1232 1236
sample2	t7_9048164	T36	MTP	håndterer	1321 1330
sample2	t7_9048164	T37	MTP	sag	1334 1337
sample2	t7_9048164	T38	MTP	arbejdsplads	1361 1373
sample2	t7_9048164	T39	MTP	format	1460 1466
sample2	t7_9048164	T40	MTP	viser	1438 1443
sample2	t7_9048164	T41	MTP	ser	1582 1585
sample2	t7_9048164	T42	MTP	håndterer	1669 1678
sample2	t7_9048164	T43	MTP	kanal	1729 1734
sample2	t7_9048164	T44	MTP	skubbe	1757 1763
sample2	t7_9048164	T45	MTP	plads	1802 1807
sample2	t7_9048164	T46	MTP	giver	1796 1801
sample2	t7_9048164	T48	MTP	tingene	1679 1686
sample2	t7_9048164	T47	MTP	tale	1857 1861
sample2	t7_9048164	T49	MTP	talen	1937 1942
sample2	t7_9048164	T52	MTP	håndtering	2017 2027
sample2	t11_9453941	T1	MTP	Stor	0 4
sample2	t11_9453941	T2	MTP	begivenhed	5 15
sample2	t11_9453941	T3	MTP	udpeget	140 147
sample2	t11_9453941	T4	WIDLII	vært	152 156
sample2	t11_9453941	T5	MTP	bud	349 352
sample2	t11_9453941	T6	MTP	møde	412 416
sample2	t11_9453941	T7	MTP	gang	449 453
sample2	t11_9453941	T8	WIDLII	legene	469 475
sample2	t11_9453941	T9	MTP	legeplads	546 555
sample2	t11_9453941	T10	MTP	lyder	573 578
sample2	t11_9453941	T11	MTP	strække	648 655
sample2	t11_9453941	T12	MTP	kaldes	731 737
sample2	t11_9453941	T13	MTP	kommer	826 832
sample2	t11_9453941	T14	MTP	planen	871 877
sample2	t11_9453941	T15	MTP	stå	878 881
sample2	t11_9453941	T16	MTP	Idéen	1038 1043
sample2	t11_9453941	T17	MTP	fungere	1061 1068
sample2	t11_9453941	T18	MTP	energi	1095 1101
sample2	t11_9453941	T19	MTP	opmærksomhed	1119 1131
sample2	t11_9453941	T20	MTP	fået	1114 1118
sample2	t11_9453941	T21	MTP	planer	1144 1150
sample2	t11_9453941	T22	WIDLII	bedrive	1224 1231
sample2	t11_9453941	T23	MTP	løb	1299 1302
sample2	t10_9417278	T1	WIDLII	spektakulær	28 39
sample2	t10_9417278	T2	MTP	mål	101 104
sample2	t10_9417278	T3	MTP	stjerne	149 156
sample2	t10_9417278	T4	WIDLII	hjemme	299 305
sample2	t10_9417278	T5	MTP	målene	370 376
sample2	t10_9417278	T6	MTP	betyder	396 403
sample2	t10_9417278	T7	MTP	mål	999 1002
sample2	t10_9417278	T8	MTP	kampe	1021 1026
sample2	t10_9417278	T9	MTP	kamp	1123 1127
sample2	t10_9417278	T10	MTP	tilpasse	1090 1098
sample2	t10_9417278	T11	MTP	målene	1164 1170
sample2	t10_9417278	T12	MTP	position	1216 1224
sample2	t10_9417278	T13	WIDLII	banen	1321 1326
sample2	t10_9417278	T14	MTP	placerer	1349 1357
sample2	t10_9417278	T15	MTP	tæller	1434 1440
sample2	t10_9417278	T16	MTP	peger	1700 1705
sample2	t10_9417278	T17	MTP	pres	1735 1739
sample2	t10_9417278	T18	MTP	angrebet	1755 1763
sample2	t10_9417278	T19	MTP	modenhed	1784 1792
sample2	t10_9417278	T20	MTP	spektakulær	1823 1834
